Fecha,Publicacion,Link,Plataforma,Sentimiento,Tema,Relacionado a,Autor
27-12-2021,"Ahora sí, entre todos y todas, con el aporte de cada UNO, vamos a financiar juntos la campaña de la esperanza. ¡Hagamos vaca!",https://twitter.com/ecuarauz/status/1343253402646667265?s=20,Twitter,Neutral,Otros,Financiamiento de campaña,"
@ecuarauz
"
02-02-2021,Hagamos el último esfuerzo!,https://twitter.com/ecuarauz/status/1356687020274425857?s=20,Twitter,Neutral,Otros,Financiamiento de campaña,"
@ecuarauz
"
02-02-2021,Gracias querido Presidente Fernández por reafirmar tu compromiso en la gestión de las vacunas. Has hecho tanto por la unidad continental. Será un honor construir lado a lado la Patria Grande. En el corazón de las y los ecuatorianos ya eres el wawki Alberto.,https://twitter.com/ecuarauz/status/1356638768632131586?s=20,Twitter,Positivo,Salud,Vacunas,"
@ecuarauz
"
02-02-2021,"A los que llevan 2 días intentando tumbar nuestros servidores y nuestra página web les digo q en nuestro gobierno incluiremos programación informática desde la niñez.

Ya van millones de visitas de robots a la web en estos días. 

Tú también visítanos en",https://twitter.com/ecuarauz/status/1356625030713659393?s=20,Twitter,Negativo,Otros,Hackers,"
@ecuarauz
"
11-08-2020,"Друзья России, мы ценим вашу поддержку народу Эквадора лекарствами и вакциной",https://twitter.com/ecuarauz/status/1293235735349338112?s=20,Twitter,Neutral,Salud,Vacunas,"
@ecuarauz
"
02-02-2021,"у нас уже есть предварительное соглашение с Россией на поставку нескольких миллионов вакцин Sputnik V

El 7 de febrero, todo 1 y así podremos firmar los pedidos el 8 de febrero.",https://twitter.com/ecuarauz/status/1356610624671858689?s=20,Twitter,Neutral,Salud,Vacunas,"
@ecuarauz
"
02-02-2021,IVA cero para los tampones y las toallas higiénicas,https://twitter.com/ecuarauz/status/1356473194715226112?s=20,Twitter,Positivo,Género,Toallas Higiénicas,"
@ecuarauz
"
01-02-2021,CFN Number 2017 R 677484,https://twitter.com/ecuarauz/status/1356465638164824064?s=20,Twitter,Negativo,Corrupción,Contraloría,"
@ecuarauz
"
01-02-2021,"El compromiso de integración latinoamericana es fundamental, sobre todo con respecto a la salud. Así como el Presidente Fernández (@alferdez) ayudó a Bolivia a conseguir la vacuna, contribuirá a proteger a las familias ecuatorianas",https://twitter.com/ecuarauz/status/1356244343561060356?s=20,Twitter,Neutral,Integración latinoamercana,Salud,"
@ecuarauz
"
01-02-2021,Desliz en la carta. El triunfo popular será el 7 de febrero del 202,https://twitter.com/ecuarauz/status/1356253684519284738?s=20,Twitter,Neutral,Integración latinoamercana,Salud,"
@ecuarauz
"
31-01-2021,"Me reuní con @groninty, joven científico reconocido internacionalmente y experto en economía circular. Se suma al equipo del futuro.

Tenemos total apertura para la construcción de la unión por la ciencia, la innovación, el trabajo y el progresismo.",https://twitter.com/ecuarauz/status/1356094626013339650?s=20,Twitter,Neutral,Ideología,Apoyo político,"
@ecuarauz
"
31-01-2021,1.70102E+14,https://twitter.com/ecuarauz/status/1355882931785502724?s=20,Twitter,Negativo,Corrupción,Contraloría,"
@ecuarauz
"
29-01-2021,"Nuestra carta, de @rabascallcarlos y @ecuarauz, para las mujeres ecuatorianas 

#SomosUna",https://twitter.com/ecuarauz/status/1355326309296205825?s=20,Twitter,Positivo,Género,Carta a mujeres,"
@ecuarauz
"
29-01-2021,"#FakeNews Con enorme indignación constatamos que, en la edición digital de Clarín del día de hoy se reproduce, a una semana de la realización de la elección presidencial en Ecuador, una pieza más de la campaña sucia que enfrenta nuestra candidatura.",https://twitter.com/ecuarauz/status/1355283261107404804?s=20,Twitter,Negativo,Campaña sucia,Noticias falsas,"
@ecuarauz
"
29-01-2021,"Por lo indicado, exijo que, de manera inmediata se proceda, primero al retiro de esta información injuriosa y, segundo a su rectificación pública.",https://twitter.com/ecuarauz/status/1355285811663613953?s=20,Twitter,Negativo,Campaña sucia,Noticias falsas,"
@ecuarauz
"
29-01-2021,"Para su conocimiento, la propuesta que aparece tergiversada en la información que su medio publica se basa en una recomendación de las Naciones Unidas y es la siguiente.",https://twitter.com/ecuarauz/status/1355285816386281477?s=20,Twitter,Negativo,Campaña sucia,Noticias falsas,"
@ecuarauz
"
28-01-2021,"Ayer mi mamá me sorprendió durante la caminata en Quito. Gracias por ese abrazo, por esa confianza, por esa preparación, por esos valores de amor al prójimo, por tus consejos para asumir este reto. Hoy estoy más listo que nunca para trabajar por todas las familias ecuatorianas.",https://twitter.com/ecuarauz/status/1354826124509859842?s=20,Twitter,Positivo,Historias de vida,Apoyo familiar,"
@ecuarauz
"
27-01-2021,"El banquero continúa su campaña sucia de videos y fotos falsas sobre #MilDeUna. 

#MilDeUna es una propuesta seria, responsable y viable de ayuda inmediata. La ejecutaremos en la primera semana de nuestro gobierno. Recuerda ver siempre mis cuentas oficiales.
#ArauzEsCampañaLimpia",,Twitter,Negativo,Campaña sucia,Noticias falsas,"
@ecuarauz
"
27-01-2021,Felicitaciones a la Profesora María Augusta Hermida quien asume el rectorado en la Universidad de Cuenca. Es la primera vez que una mujer dirigirá la prestigiosa casa de estudios. Muchos éxitos en sus nuevas funciones.,https://twitter.com/ecuarauz/status/1354594306082959362?s=20,Twitter,Positivo,Género,Felicitaciones a profesora,"
@ecuarauz
"
27-01-2021,"El sector del transporte ha sido uno de los más afectados por la pandemia. Nuestros esfuerzos están dirigidos a recuperar este importante sector productivo, que da sustento a cientos de miles de familias ecuatorianas.",https://twitter.com/ecuarauz/status/1354459084376977411?s=20,Twitter,Neutral,Empleo,Transportistas,"
@ecuarauz
"
27-01-2021,"Indignado y consternado por el asesinato de Efraín Ruales. Mi solidaridad con su familia, amigos y seguidores.
El Estado debe garantizar justicia para él y su familia.",https://twitter.com/ecuarauz/status/1354448426822459400?s=20,Twitter,Neutral,Otros,Condolencias,"
@ecuarauz
"
26-01-2021,"Seguimos viendo las miserias del gobierno saliente, cuya prioridad nunca fueron las familias ecuatorianas. Nuestro reto es salir exitosamente de la pandemia y ser el gobierno que recupere la confianza de todo el pueblo ecuatoriano https://bit.ly/3ceTYbK #RenunciaMinistroZevallos",https://twitter.com/ecuarauz/status/1354177199964889089?s=20,Twitter,Negativo,Salud,Vacunas,"
@ecuarauz
"
26-01-2021,"Primero a los profesionales de la salud de primera línea, primero a los soldados y policías, primero los adultos mayores, primero los docentes, primero aquellos con enfermedades prevalentes... 

Por mi edad y mi salud, me tocaría casi al final",https://twitter.com/ecuarauz/status/1354077984534245382?s=20,Twitter,Neutral,Salud,Vacunas,"
@ecuarauz
"
